City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Xiamen,CN,83.25,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
471,Jamiltepec,MX,80.4,few clouds,16.2833,-97.8167,Hotel Cádiz
474,Mareeba,AU,70.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
476,Harper,LR,82.51,light rain,4.375,-7.7169,Screensaver
478,Basco,PH,82.71,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
482,Ambagarh Chauki,IN,74.3,overcast clouds,20.7833,80.7167,Hunesh kunjam home ....
483,Pangai,TO,76.59,clear sky,-19.8,-174.35,Ha'apai Beach Resort
485,Manavalakurichi,IN,80.69,broken clouds,8.1333,77.3,Udaya Boys Hostel
487,Puerto Escondido,MX,84.11,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
488,Sur,OM,84.11,clear sky,22.5667,59.5289,Sur Plaza Hotel
490,Mashhad,IR,62.74,clear sky,36.297,59.6062,Khanye Sabz Hotel
491,Bagru,IN,82.74,clear sky,26.8088,75.5423,Nandan Green Housed Limited
492,Bhind,IN,82.63,clear sky,26.5642,78.7883,Hotel Kanha Palace and Family Restaurant
494,Bam,IR,75.74,clear sky,29.106,58.357,Bam Tourist Hotel
498,Bodden Town,KY,89.01,few clouds,19.2833,-81.25,Will T Place
501,Hobyo,SO,79.95,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
502,Le Moule,GP,87.84,scattered clouds,16.3332,-61.3473,Lakaz Hananou
506,Rincon,US,79.25,few clouds,32.296,-81.2354,Days Inn Rincon
509,Salinas,US,63.03,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
510,Lorengau,PG,82.99,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
511,Butembo,CD,62.22,moderate rain,0.15,29.2833,Hotel Butembo
512,Teahupoo,PF,69.76,light rain,-17.8333,-149.2667,Vanira Lodge
513,Coahuayana,MX,82.72,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
514,Zaozerne,UA,60.94,broken clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
520,Pombia,IT,64.31,clear sky,45.653,8.6336,Albergo Fontana
521,Matara,LK,79.23,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
524,Ariyalur,IN,87.96,overcast clouds,11.1333,79.0833,BERGAMONT HOTEL
525,Porbandar,IN,83.7,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
526,Omboue,GA,81.18,overcast clouds,-1.5746,9.2618,Hotel Olako
528,Valparaiso,CL,64.63,clear sky,-33.0393,-71.6273,Hotel Ultramar
533,Kiunga,PG,72.21,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
537,Koumac,NC,70.75,scattered clouds,-20.5667,164.2833,Le Monitel
541,Bereda,ES,72.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
543,Ponta Delgada,PT,74.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
545,Kavieng,PG,82.71,few clouds,-2.5744,150.7967,Nusa Island Retreat
549,Comodoro Rivadavia,AR,62.46,few clouds,-45.8667,-67.5,Austral Hotel
550,Vaitape,PF,79.99,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
551,Broome,US,74.62,clear sky,42.2506,-75.833,Chenango Valley State Park
552,Sarnia,CA,60.73,light rain,42.9787,-82.4041,DoubleTree by Hilton Hotel Port Huron
553,Kununurra,AU,73.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
554,Richards Bay,ZA,77.7,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
555,Pacific Grove,US,62.62,clear sky,36.6177,-121.9166,Lovers Point Inn
556,Constantine,DZ,67.41,scattered clouds,36.365,6.6147,Grand Hotel Cirta
557,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
558,Bundi,IN,79.32,clear sky,25.4417,75.6417,HOTEL BUNDI INN- A Heritage Haveli
559,Barranca,PE,65.39,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
560,Rio Grande,BR,64.51,heavy intensity rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
562,Maragogi,BR,84.09,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
568,Sidrolandia,BR,88.59,scattered clouds,-20.9319,-54.9614,Agropet São Francisco
570,Roma,US,74.39,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
573,Hargeysa,SO,77.29,clear sky,9.56,44.065,City Center Hotel
574,Quelimane,MZ,87.75,clear sky,-17.8786,36.8883,Hotel Flamingo
575,Jacmel,HT,87.64,broken clouds,18.2342,-72.5347,Historic Hotel Florita
577,Sokoni,TZ,86.29,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
578,Neiafu,TO,66.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
579,Kawalu,ID,71.47,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
580,Jasper,US,63.82,overcast clouds,37.2001,-94.3502,Guest House Motel
581,Ambilobe,MG,80.42,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
583,Beruwala,LK,80.83,scattered clouds,6.4788,79.9828,The Palms Hotel
584,Iquitos,PE,84.24,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
587,Bartica,GY,89.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
588,Ginda,IN,60.28,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
590,Indiana,US,69.51,mist,40.0003,-86.2503,WonderTree Farm
591,Tuburan,PH,82.09,overcast clouds,6.6439,122.2736,GT Site
593,Estacion Coahuila,MX,64.96,clear sky,32.1939,-115.0017,carroceria y pintura Kikones
594,Caravelas,BR,84.52,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
595,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
596,Gigmoto,PH,79.34,scattered clouds,13.7796,124.39,Cj's Travellers Inn
597,Beni,CD,65.14,moderate rain,0.5,29.4667,Albertine hotel
598,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
599,Asfi,MA,74.17,few clouds,32.2994,-9.2372,Hôtel Abda
600,Bhadrak,IN,79.84,overcast clouds,21.0633,86.5054,Hotel bluevine
602,Namibe,AO,68.72,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
