City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Khasan,RU,42.4308,130.6434,53.55,69,100,12.03,overcast clouds
285,Haicheng,CN,40.8516,122.7475,40.82,33,65,12.64,broken clouds
286,Taltal,CL,-25.4,-70.4833,60.78,70,3,4.5,clear sky
287,Tazovskiy,RU,67.4667,78.7,30.99,95,100,7.0,overcast clouds
288,Hithadhoo,MV,-0.6,73.0833,83.17,77,98,23.51,overcast clouds
289,Sistranda,NO,63.7256,8.834,44.91,66,100,23.87,overcast clouds
290,Sao Felix Do Xingu,BR,-6.6447,-51.995,97.3,34,100,4.41,overcast clouds
291,Kaitangata,NZ,-46.2817,169.8464,45.91,80,99,2.46,overcast clouds
292,Samut Songkhram,TH,13.4,99.9583,78.94,83,100,1.28,light rain
293,Talnakh,RU,69.4865,88.3972,32.5,99,100,11.5,snow
294,Copiapo,CL,-27.3667,-70.3333,53.29,30,0,7.58,clear sky
295,Arauco,CL,-37.2463,-73.3175,53.62,43,1,6.26,clear sky
296,Rawson,AR,-43.3002,-65.1023,60.6,27,0,22.32,clear sky
297,Broken Hill,AU,-31.95,141.4333,53.31,71,75,13.8,broken clouds
298,Saint-Augustin,CA,51.226,-58.6502,49.66,78,87,16.15,overcast clouds
299,Afua,BR,-0.1567,-50.3867,91.29,48,60,8.01,broken clouds
300,Xudat,AZ,41.631,48.681,59.5,78,10,1.19,clear sky
301,Samarai,PG,-10.6167,150.6667,77.79,85,100,10.07,overcast clouds
302,Karratha,AU,-20.7377,116.8463,74.88,69,5,13.31,clear sky
303,Berlevag,NO,70.8578,29.0864,39.15,81,75,13.8,broken clouds
304,Taoudenni,ML,22.6783,-3.9836,103.41,8,35,3.38,scattered clouds
305,Kabare,CD,-2.4683,28.8242,68.63,85,75,2.77,moderate rain
306,Ubinskoye,RU,55.3068,79.6802,40.84,82,0,4.23,clear sky
307,Ostrovnoy,RU,68.0531,39.5131,40.77,79,75,24.16,broken clouds
308,Hualmay,PE,-11.0964,-77.6139,66.47,78,100,8.48,overcast clouds
309,Antalaha,MG,-14.9003,50.2788,74.34,76,17,12.48,light rain
310,Sioux Lookout,CA,50.1001,-91.917,44.67,87,90,10.36,overcast clouds
311,Paamiut,GL,61.994,-49.6678,37.33,85,45,11.68,scattered clouds
312,Hilton Head Island,US,32.2163,-80.7526,78.98,82,1,0.0,clear sky
313,Ust-Omchug,RU,61.15,149.6333,-4.02,99,79,5.32,broken clouds
314,Salta,AR,-24.7859,-65.4117,52.09,76,90,1.99,overcast clouds
315,Merauke,ID,-8.4667,140.3333,78.62,84,68,7.7,broken clouds
316,Sindgi,IN,16.9167,76.2333,77.77,61,100,9.46,overcast clouds
317,Porto Murtinho,BR,-21.6989,-57.8825,77.86,86,99,9.6,moderate rain
318,Kilindoni,TZ,-7.9139,39.6668,78.57,76,6,12.21,clear sky
319,Quang Ngai,VN,15.1167,108.8,76.86,93,100,3.33,overcast clouds
320,Madimba,TZ,-10.4,40.3333,83.52,61,40,12.66,scattered clouds
321,Nome,US,64.5011,-165.4064,30.27,75,90,11.5,overcast clouds
322,Olafsvik,IS,64.8945,-23.7142,44.89,79,82,11.88,broken clouds
323,Ginir,ET,7.1333,40.7,63.79,47,11,2.48,few clouds
324,Lakes Entrance,AU,-37.8811,147.981,53.17,80,98,19.6,overcast clouds
325,Petalcingo,MX,17.2833,-92.45,65.23,57,15,1.01,few clouds
326,Kuala Terengganu,MY,5.3302,103.1408,80.55,83,20,5.75,few clouds
327,Hamilton,US,39.1834,-84.5333,75.58,83,75,1.01,broken clouds
328,Umm Kaddadah,SD,13.6017,26.6876,97.11,21,67,8.7,broken clouds
329,Saint-Joseph,RE,-21.3667,55.6167,73.78,81,20,13.49,few clouds
330,Aracati,BR,-4.5617,-37.7697,93.06,45,16,16.91,few clouds
331,Buraydah,SA,26.326,43.975,99.05,12,0,5.86,clear sky
332,Svetlogorsk,BY,52.6333,29.7333,46.29,67,96,11.21,overcast clouds
333,Manali,IN,13.1667,80.2667,82.49,78,97,6.53,overcast clouds
334,Seguela,CI,7.9611,-6.6731,88.83,51,7,5.12,clear sky
335,Sao Desiderio,BR,-12.3633,-44.9733,98.8,24,88,7.23,overcast clouds
336,Paso De Carrasco,UY,-34.8603,-56.0522,60.94,57,75,14.97,broken clouds
337,Penne,IT,42.4538,13.9299,61.81,54,13,12.75,few clouds
338,Sechura,PE,-5.5569,-80.8222,70.07,69,99,8.77,overcast clouds
339,Ewa Beach,US,21.3156,-158.0072,75.15,81,20,5.75,few clouds
340,Port Elizabeth,ZA,-33.918,25.5701,65.1,77,75,23.02,broken clouds
341,Tuatapere,NZ,-46.1333,167.6833,37.72,88,80,5.28,broken clouds
342,Urucara,BR,-2.5364,-57.76,101.5,22,82,6.53,broken clouds
343,Halifax,CA,44.6453,-63.5724,58.21,75,75,3.0,broken clouds
344,Yerbogachen,RU,61.2767,108.0108,22.12,92,100,14.54,snow
345,Port Hardy,CA,50.6996,-127.4199,50.18,93,90,5.75,light rain
346,Charters Towers,AU,-20.1,146.2667,71.4,22,86,3.44,overcast clouds
347,Bukachacha,RU,52.9833,116.9167,17.94,51,1,6.76,clear sky
348,Macon,US,39.8667,-88.9668,61.54,88,90,8.05,overcast clouds
349,Sovetskiy,RU,61.3614,63.5842,45.32,72,100,10.63,overcast clouds
350,Iturama,BR,-19.7281,-50.1956,90.41,46,58,13.24,broken clouds
351,Clarence Town,AU,-32.5833,151.7833,56.95,67,37,15.01,scattered clouds
352,Puerto Colombia,CO,10.9878,-74.9547,87.89,71,100,2.95,overcast clouds
353,Katsuura,JP,35.1333,140.3,72.19,75,53,7.07,broken clouds
354,Dehui,CN,44.5333,125.7,35.91,39,0,17.74,clear sky
355,Rafai,CF,4.95,23.9167,74.19,93,100,3.4,moderate rain
356,Kapit,MY,2.0167,112.9333,76.3,97,97,0.67,overcast clouds
357,Port Hedland,AU,-20.3167,118.5667,77.05,65,2,9.22,clear sky
358,Somerset,US,40.5668,-74.5496,76.39,75,1,1.99,clear sky
359,Natal,BR,-5.795,-35.2094,86.65,66,40,20.71,scattered clouds
360,Mercedes,AR,-34.6515,-59.4307,63.86,29,0,9.1,clear sky
361,Santa Maria,BR,-29.6842,-53.8069,69.1,94,75,8.05,moderate rain
